State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer
Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,83743,79675,105893,57926,47967,41556,38721,63645,16632,3563,950,158224,31,350,17,198,36182,170,1558
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,101933,94663,117511,63653,53858,52931,45223,73518,24636,2979,1052,191864,27,572,5,1,24998,155,2251
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,84505,81838,128208,67385,60823,42096,36316,63512,14900,5605,2043,158236,34,318,8,20,25268,198,1757
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,71217,69540,102881,53504,49377,41178,38288,49382,30084,2580,772,136995,39,286,6,2,28846,261,2008
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,1185787,1134742,1621232,902359,718873,684020,248687,618064,314643,2197709,94254,6434,237,111,201,18345,296834,7370,28289
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,760260,746077,1094140,596269,497871,409559,59040,328097,140502,1398543,104202,745,169,81,111,61,164636,2637,15609
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,1352760,1271710,2011469,1103033,908436,761876,174489,696274,240091,2457729,141263,11985,1026,6276,1180,168,349587,15046,40589
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,612593,580218,829910,464093,365817,340552,94981,277338,158195,1185542,4805,727,124,366,39,139,117172,1810,10600
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,282882,294935,262537,153663,108874,155907,138026,170371,123562,353160,1556,219482,53,2180,66,4,63112,635,5523
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,1779218,1749813,2210050,1262652,947398,990027,511745,900744,601028,3486059,13315,23975,590,174,170,76,405298,9049,41059
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,296690,282815,405879,228092,177787,172018,75689,172069,75638,553587,12783,10462,1441,80,70,67,81433,2498,7555
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,787101,789768,802036,484177,317859,447290,304640,376757,375173,1555367,4975,11160,796,175,1225,220,91171,1953,12622
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,359945,373165,399786,233900,165886,193515,161834,167112,188237,580300,2138,148895,82,290,47,23,28736,768,6609
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,717814,722547,1089265,579970,509295,386382,80508,322265,144625,1386792,50247,1423,169,62,52,24,173107,1628,11836
Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,1167137,1084536,1749936,957515,792421,645880,146313,632625,159568,2147632,84060,12527,1264,475,476,434,349860,35701,75588
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,678809,700838,568090,340843,227247,384053,309353,396460,296946,1294151,8850,68550,518,219,491,3384,85766,3988,17294
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,303624,309568,244706,147001,97705,170495,140171,179030,131636,600219,1871,10039,213,43,195,35,24604,448,3908
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,1256213,1263525,1369397,794171,575226,697782,525752,548390,675144,2113079,33706,15008,661,162,109,351714,140189,2950,17999
